Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
1402,III. Angiosperms,Asteraceae,Asteraceae,Leuzea,Leuzea,Leuzea repens,,Leuzea repens,(L.) D.J.N.Hind,"Distributed in North China and Northwest China; North Asia, Central Asia, West Asia, Southwest Asia and Europe also found.","Occurs in saline-alkaline land, dry slopes, sandy land, fields or wasteland.","Perennial herb, hemicryptophyte",Plant height 25–70 cm,"Leaves textured stiff, long elliptic to linear, entire, both surfaces gray-green; involucre ovate, involucral bracts apex with white hyaline-membranous attached genus structure, entire florets two -like, pink or pale purple; entire pappus bristles base not connate forming ring, not deciduous or divided spreading deciduous. Flowering and fruiting period May–September.",Salt-excluding halophyte,Xerophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition"
1403,III. Angiosperms,Asteraceae,Asteraceae,Gelasia,Gelasia,Gelasia circumflexa,,Gelasia circumflexa,"(Krasch. & Lipsch.) Zaika, Sukhor. & N.Kilian",Distributed in Xinjiang; Central Asia also found.,Occurs in broken stones slopes or mountain front of plains.,"Perennial herb, hemicryptophyte",Plant height 8–25 cm,"Roots with globose swollen large tuberous roots; stem densely covered with pubescent; leaves lanceolate, margin wrinkled undulate, both surfaces densely covered with soft hairs; capitulum conical, involucral bracts outer surface densely covered with short-pubescent, ligulate florets yellow; achene round column-shaped, densely covered with silky-shaped pubescent; pappus bristles feathery-shaped. Flowering and fruiting period April–May.",Euhalophyte,Xerophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1404,III. Angiosperms,Asteraceae,Asteraceae,Epilasia,Epilasia,Epilasia acrolasia,,Epilasia acrolasia,C.B.Clarke,"Distributed in Xinjiang; Central Asia, South Asia and Asia Southwest China part also found.","Occurs in sand dunes sheltered from wind slope, clay or stony ground.",Annual herb,Plant height 6–35 cm,"Leaves lanceolate, margin wrinkled undulate; involucre ovate round column-shaped, involucral bracts 2 layers, nearly etc. Long, margin slightly membranous, ligulate florets pale yellow; achene round column-shaped, close to nearly apex with pian zhi body ring, ring above glabrous; pappus shu gray, long feathery-shaped. Flowering and fruiting period May–June.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,Ecological use,Supplemented based on flora records
1405,III. Angiosperms,Asteraceae,Asteraceae,Epilasia,Epilasia,Epilasia hemilasia,,Epilasia hemilasia,(Bunge) C.B.Clarke,"Distributed in Xinjiang; Central Asia, South Asia and Asia Southwest China part also found.","Occurs in desert sandy land, clay ground or grassland.",Annual herb,Plant height 5–50 cm,"Leaves long elliptic round-shaped ovate or lanceolate, both surfaces coarse se, margin with slightly serrate; involucre ovate-shaped cylindrical, involucral bracts 2 layers, outer layers herbaceous, inner layers hard, leathery, florets yellow; achene middle part with 1 jia thick pian zhi body ring, ring above hairy, hairs covered with structure and shu gray pappus xiang zhan lian. Flowering and fruiting period April–May.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,Ecological use,Supplemented based on flora records
1406,III. Angiosperms,Asteraceae,Asteraceae,Tragopogon,Tragopogon,Tragopogon kasahstanicus,,Tragopogon kasahstanicus,S.A.Nikitin,Distributed in Xinjiang; Central Asia also found.,"Occurs in sandy land, dry river valleys, dry slopes or mountain front of plains.","Perennial herb, hemicryptophyte",Plant height 10–40 cm,"Leaves lanceolate or linear, base amplexicaul, margin narrow membranous; inflorescence stalk in fruiting period mostly few swollen large, involucre bell-shaped cylindrical, involucral bracts 1 layers, lanceolate, and purple ligulate florets etc. Long; pappus 1 layers, feathery-shaped, dark-stained white or pale yellow. Flowering and fruiting period April–June.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,"Ornamental, ecological use",Supplemented based on field surveys
1407,III. Angiosperms,Asteraceae,Asteraceae,Tragopogon,Tragopogon,Tragopogon marginifolius,,Tragopogon marginifolius,Pavlov,"Distributed in Xinjiang; Central Asia, Europe and Russia also found.",Occurs in desert gravelly ground or salinized and alkalized gravelly ground.,"Perennial herb, hemicryptophyte",Plant height 12–60 cm,"Leaves broadly lanceolate, wrinkled undulate, margin white membranous; inflorescence stalk in fruiting period not swollen large, involucre round column-shaped campanulate, involucral bracts 1 layers, lanceolate, ligulate florets purple; achene fruit beak coarse, pappus 1 layers, feathery-shaped, pale yellow or shallow red brown. Flowering and fruiting period April–July.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,"Ornamental, ecological use",Supplemented based on field surveys
1408,III. Angiosperms,Asteraceae,Asteraceae,Lipschitzia,Lipschitzia,Lipschitzia divaricata,,Lipschitzia divaricata,"(Turcz.) Zaika, Sukhor. & N.Kilian",Distributed in North China and Northwest China; Mongolia also found.,"Occurs in desert dry riverbeds, dry gullies and valleys or fixed dunes.","Perennial herb, hemicryptophyte",Plant height 20–70 cm,"Stem from base much-branched, gray-green, base without sheath-shaped can ji; leaves linear or filiform, midrib wide thick; capitulum solitary stem branches apex, with 4–5 ligulate florets, involucre narrow round column-shaped; achene round column-shaped, pappus dark-stained yellow, feathery-shaped. Flowering and fruiting period May–September.",Euhalophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1409,III. Angiosperms,Asteraceae,Asteraceae,Koelpinia,Koelpinia,Koelpinia linearis,,Koelpinia linearis,Pall.,"Distributed in Xinjiang and Tibet; Asia, Europe and Africa also found.",Occurs in desert gravelly ground or dry slopes.,Annual herb,Plant height 13–20 cm,"Leaves linear, textured thin, glabrous; capitulum small, involucre round column-shaped, involucral bracts 2 layers, ligulate florets yellow; achene 6–8, slender and long, linear-shaped cylindrical, xie tail-shaped inner curved, abaxial surface with numerous needle-like spiny, apex with needle-like spiny, needle-like spiny fang she-shaped arranged, without pappus. Flowering and fruiting period April–July.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1410,III. Angiosperms,Asteraceae,Asteraceae,Scorzonera,Scorzonera,Scorzonera parviflora,,Scorzonera parviflora,Jacq.,"Distributed in Xinjiang; North Asia, Central Asia, West Asia, Southwest Asia and Europe also found.","Occurs in meadow, desert or grass floodplain flats.","Perennial herb, hemicryptophyte",Plant height 15–60 cm,"Stem unbranched, flower scape-shaped, smooth, glabrous; basal leaves long elliptic, flattened, with 3–5 veins, both surfaces smooth glabrous; capitulum large, involucre round column-shaped, diameter 1–1.5 cm, ligulate florets yellow; achene round column-shaped, with longitudinal ribs, pappus dark-stained white, feathery-shaped. Flowering and fruiting period June–September.",Euhalophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C3,Ecological use,"eHALOPH; Handbook of Halophytes 532; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1411,III. Angiosperms,Asteraceae,Asteraceae,Scorzonera,Scorzonera,Scorzonera iliensis,,Scorzonera iliensis,Krasch.,Distributed in Xinjiang; Central Asia also found.,Occurs in dry slopes hills or dry valleys grassland.,"Perennial herb, hemicryptophyte",Plant height 35–70 cm,"Stem covered with rolled hairs, base covered with sheath-shaped can ji; basal leaves linear, margin flat, with 3–5 veins, midrib white, raised; capitulum forming umbel locule raceme, involucre round column-shaped, ligulate florets yellow; achene round column-shaped, pappus 5–10 roots exceeding long, feathery-shaped. Flowering and fruiting period July–August.",Euhalophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition"
1412,III. Angiosperms,Asteraceae,Asteraceae,Takhtajaniantha,Takhtajaniantha,Takhtajaniantha austriaca,,Takhtajaniantha austriaca,"(Willd.) Zaika, Sukhor. & N.Kilian","Distributed in Northeast China, North China, Northwest China and East China; northern Asia, western part, the Mediterranean region and Europe also found.","Occurs in slopes, grassland or river floodplains ground.","Perennial herb, hemicryptophyte",Plant height 10–42 cm,"Stem clustered, unbranched, smooth glabrous, stem base covered with dense dense sheath-shaped can yi structure; basal leaves linear to long elliptic; involucre round column-shaped, smooth glabrous, ligulate florets yellow; achene round column-shaped, pappus pale yellow, feathery-shaped. Flowering and fruiting period April–July.",Euhalophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C3,"Edible, medicinal, ecological use",Handbook of Halophytes 17
1413,III. Angiosperms,Asteraceae,Asteraceae,Takhtajaniantha,Takhtajaniantha,Takhtajaniantha pusilla,,Takhtajaniantha pusilla,(Pall.) Nazarova,"Distributed in Xinjiang; North Asia, Central Asia, West Asia and South Asia also found.","Occurs in sandy land, saline-alkaline land, rocky slopes or desert gravelly ground.","Perennial herb, hemicryptophyte",Plant height 5–20 cm,"Roots with globose swollen large tuberous roots; stem upper part usually with branched, stem base covered with sheath-shaped can ji; basal leaves narrow linear, arcuate shape curved, hooked; involucre narrow round column-shaped, covered with chen-shaped short-pubescent, ligulate florets yellow; achene glabrous, round column-shaped, pappus white, feathery-shaped. Flowering and fruiting period April–July.",Euhalophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,"Medicinal, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1414,III. Angiosperms,Asteraceae,Asteraceae,Takhtajaniantha,Takhtajaniantha,Takhtajaniantha pseudodivaricata,,Takhtajaniantha pseudodivaricata,"(Lipsch.) Zaika, Sukhor. & N.Kilian",Distributed in Northwest China and Sichuan; Mongolia also found.,"Occurs in desert gravelly ground, dry slopes, Gobi gravel desert or sandy land.","Perennial herb, hemicryptophyte",Plant height 7–50 cm,"Stem from middle part above branched forming broom-shaped-shaped, base sheath-shaped can ji fiber-shaped lacerate lobed; leaves linear; capitulum containing 7–12 ligulate florets, involucre narrow round column-shaped, ligulate florets yellow; achene round column-shaped, pappus dark-stained white, feathery-shaped. Flowering and fruiting period May–October.",Euhalophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,"Medicinal, ecological use",Supplemented based on field surveys
1415,III. Angiosperms,Asteraceae,Asteraceae,Takhtajaniantha,Takhtajaniantha,Takhtajaniantha mongolica,,Takhtajaniantha mongolica,"(Maxim.) Zaika, Sukhor. & N.Kilian","Distributed in Northeast China, North China and Northwest China; Mongolia and Kazakhstan also found.","Occurs in salt becoming sandy land, saline-alkaline land or rivers and lakes floodplain flats.","Perennial herb, hemicryptophyte",Plant height 5–35 cm,"Stem gray-green, smooth, glabrous; basal leaves long elliptic to linear-lanceolate, cauline leaves opposite, texture thick, succulent, smooth glabrous, gray-green; involucre narrow round column-shaped, ligulate florets yellow; achene covered with villous, round column-shaped, pappus white, feathery-shaped. Flowering and fruiting period April–August.",Euhalophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,"Medicinal, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1416,III. Angiosperms,Asteraceae,Asteraceae,Cichorium,Cichorium,Cichorium intybus,,Cichorium intybus,L.,"Distributed in Northeast China, North China and Northwest China; Asia, Europe and Africa also found.","Occurs in seashore wasteland, salinized and alkalized moist slopes or mostly rocky river floodplains ground.","Perennial herb, hemicryptophyte",Plant height 40–100 cm,"Basal leaves lotus base-shaped, large head pinnate lobed, cauline leaves lanceolate, base half amplexicaul, leaves covered with mostly slender bao long nodes hairs; capitulum often 2–8 is one zu along flower branches arranged forming spike, involucre round column-shaped, covered with glandular hairs, ligulate small flowers blue; pappus very short, membrane segments-shaped. Flowering and fruiting period May–October.",Salt-excluding halophyte,Hygrophytic or mesophytic,297 mM (19000 mg/L),0,C3,"Edible, ecological use",Handbook of Halophytes 23
1417,III. Angiosperms,Asteraceae,Asteraceae,Lactuca,Lactuca,Lactuca indica,,Lactuca indica,L.,Distributed in from Northeast to Southwest China each ground; Asia each ground widely distributed.,"Occurs in watersides marshland, wasteland or fields.",Annual herb,Plant height 40–200 m,"Leaves linear, pinnately divided or not lobed, margin entire or with serrate, both surfaces glabrous, gray-green; capitulum numerous rows forming panicle, involucre long 1.5 cm, ligulate florets yellow; achene elliptic, compressed, margin with wide wings, pappus white. Flowering and fruiting period April–November.",Salt-excluding halophyte,Hygrophytic or mesophytic,"Unknown, 200 mM (estimated value)",0,C3,"Feed, wild vegetable, ecological use",Supplemented based on field surveys
1418,III. Angiosperms,Asteraceae,Asteraceae,Lactuca,Lactuca,Lactuca tatarica,,Lactuca tatarica,(L.) C.A.Mey.,"Distributed in Northeast China, North China and Northwest China; North Asia, Central Asia and South Asia also found.","Occurs in watersides saline-alkaline land, river floodplains sandy land, fields or sand gravel ground.","Perennial herb, hemicryptophyte",Plant height 15–60 cm,"Plant milky sap well developed, smooth glabrous; leaves long elliptic to linear, pinnate-shaped shallowly lobed or with large serrate, texture slightly thick; capitulum numerous, involucre round column-shaped or cuneate, band purplish red, ligulate florets purple or purple blue; achene slightly compressed, pappus white. Flowering and fruiting period June–September.",Salt-excluding halophyte,Hygrophytic or mesophytic,"Unknown, 400 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C3,"Medicinal, wild vegetable, ecological use","eHALOPH; Handbook of Halophytes 533; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1419,III. Angiosperms,Asteraceae,Asteraceae,Launaea,Launaea,Launaea acaulis,,Launaea acaulis,(Roxb.) Babc. ex Kerr,Distributed in South China and Southwest China; Southeast Asia and South Asia also found.,"Occurs in wasteland, slopes or grassland.","Perennial herb, hemicryptophyte",Plant height 25–35 cm,"Plant nearly without stem, ye without creeping branches; basal leaves lotus base-shaped, spatulate to linear-shaped oblanceolate, textured slightly thick, with slender teeth or nearly entire; capitulum in flower scape apex rows forming umbel locule-shaped inflorescence, involucre round column-shaped, florets yellow. Flowering and fruiting period April–May.",Salt-excluding halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1420,III. Angiosperms,Asteraceae,Asteraceae,Launaea,Launaea,Launaea sarmentosa,,Launaea sarmentosa,(Willd.) Kuntze,"Distributed in Guangdong and Hainan; Southeast Asia, South Asia, Africa and Oceania also found.",Occurs in seashore open sandy land.,"Perennial herb, hemicryptophyte",Plant height 5–10 cm,"Plant with creeping branches, branches at nodes borne not ding roots and leaves; basal leaves lotus base-shaped, oblanceolate, margin shallow undulate or pinnate-shaped half lobed; capitulum single borne on lotus base-shaped leaves tuft in, involucre round column-shaped, florets yellow. Flowering and fruiting period June–December.",Salt-excluding halophyte,Mesophytic; psammophytic,400 mM,Salinity tolerance value from database,C3,Ecological use,eHALOPH
1421,III. Angiosperms,Asteraceae,Asteraceae,Launaea,Launaea,Launaea procumbens,,Launaea procumbens,(Roxb.) Ramayya & Rajagopal,"Distributed in Northwest China and Southwest China; Central Asia, Southwest Asia and South Asia also found.","Occurs in saline-alkaline land, river floodplains, grassland or fields.",Annual herb,Plant height 6–30 cm,"Stem slender slender, spreading spreading or ascending, unequal two dichotomously branched; basal leaves lotus base-shaped, pinnate-shaped shallowly lobed, margin with spiny pointed, both surfaces glabrous; capitulum rows forming umbel locule-shaped inflorescence, involucre round column-shaped, ligulate florets yellow; achene different shape, pappus white. Flowering and fruiting period June–October.",Salt-excluding halophyte,Hygrophytic or mesophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1422,III. Angiosperms,Asteraceae,Asteraceae,Launaea,Launaea,Launaea polydichotoma,,Launaea polydichotoma,(Ostenf.) Amin ex N.Kilian,Distributed in Gansu and Xinjiang.,"Occurs in desert saline-alkaline land, sandy land or sand dunes.","Perennial herb, hemicryptophyte",Plant height 40–50 cm,"Stem mostly times two dichotomously branched, dense forming spherical-shaped, glabrous; leaves few, linear, leathery; capitulum small and mostly, involucre round column-shaped, glabrous, ligulate florets two -like, yellow; achene round column-shaped, pappus white, base lian forming ring, overall deciduous. Flowering and fruiting period May–September.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 500 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition"
1423,III. Angiosperms,Asteraceae,Asteraceae,Sonchus,Sonchus,Sonchus asper,,Sonchus asper,(L.) Hill,"Native to Europe, in China and worldwide naturalized.","Occurs in wasteland, fields or waterside wetlands.",Annual herb,Plant height 20–50 cm,"Leaves long elliptic, base auricles-shaped amplexicaul, margin with pointed teeth spiny; capitulum in stem branches apex rows forming dense dense corymb, involucre wide bell-shaped, ligulate florets yellow; achene inverted spreading needle-like, pappus white, base connate forming ring. Flowering and fruiting period May–October.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Naturalized invasive,Supplemented based on field surveys
1424,III. Angiosperms,Asteraceae,Asteraceae,Sonchus,Sonchus,Sonchus brachyotus,,Sonchus brachyotus,DC.,Distributed in from Northeast to Southwest China each ground; Asia each ground widely distributed.,"Occurs in watersides saline-alkaline land, slopes grass slope or river floodplains wetland.","Perennial herb, hemicryptophyte",Plant height 50–100 cm,"Leaves long elliptic to oblanceolate, pinnate-shaped shallowly lobed or not lobed, base half amplexicaul, both surfaces smooth glabrous; capitulum rows forming umbel locule-shaped inflorescence, involucre bell-shaped, ligulate florets yellow; achene slightly compressed, pappus white, single hairs-shaped. Flowering and fruiting period June–September.",Salt-excluding halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C3,"Wild vegetable, ecological use",Supplemented based on field surveys
1425,III. Angiosperms,Asteraceae,Asteraceae,Chondrilla,Chondrilla,Chondrilla piptocoma,,Chondrilla piptocoma,"Fisch., C.A.Mey. & Avé-Lall.",Distributed in Xinjiang; Kazakhstan also found.,Occurs in desert dry slopes or floodplains gravelly ground.,"Perennial herb, hemicryptophyte",Plant height 35–80 cm,"Stem lower part woody becoming, covered with spider-like filiform pubescent; in upper part leaves lanceolate to linear, entire; capitulum solitary branches end, fruiting period long 11–13 mm, outer surface covered with spider-like filiform pubescent, ligulate florets 9–12, yellow; achene narrow round column-shaped, crown scales 5, pappus white. Flowering and fruiting period June–September.",Salt-excluding halophyte,Xerophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1426,III. Angiosperms,Asteraceae,Asteraceae,Garhadiolus,Garhadiolus,Garhadiolus papposus,,Garhadiolus papposus,Boiss. & Buhse,Distributed in Xinjiang; Central Asia and Asia Southwest China part also found.,Occurs in desert sandy dry slopes or plains wasteland.,Annual herb,Plant height 5–40 cm,"Basal leaves pinnately divided or with dentate notches, both surfaces glabrous; capitulum single borne on branches end or branches forked places, nearly without stalk, involucre short round column-shaped, florets yellow; inner layers involucral bracts fruiting period becoming hard, and toward inner curved surrounding outer layers achene, pappus bristles single hairs-shaped, short. Flowering and fruiting period April–June.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1427,III. Angiosperms,Asteraceae,Asteraceae,Heteracia,Heteracia,Heteracia szovitsii,,Heteracia szovitsii,Fisch. & C.A.Mey.,"Distributed in Xinjiang; Central Asia, West Asia and Russia also found.",Occurs in desert dry slopes or mostly rocky river floodplains ground.,Annual herb,Plant height 5–40 cm,"Stem spreading spreading, unequal two dichotomously branched; basal leaves long elliptic, margin serrate to pinnate lobed; capitulum solitary branches end or solitary branches forked places, involucre bell-shaped, florets yellow; achene different shape, outer layers rhombic, without pappus, inner layers inverted golden-shaped pyramidal-shaped, apex with long beak and pappus. Flowering and fruiting period April–June.",Salt-excluding halophyte,Xerophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1428,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum sinicum,,Taraxacum sinicum,Kitag.,"Distributed in Northeast China, North China and Northwest China; Mongolia, Russia and Central Asia also found.","Occurs in moist saline-alkaline land, plains wasteland or gravelly ground.","Perennial herb, hemicryptophyte",Plant height 5–20 cm,"Basal leaves shallowly lobed or not lobed, margin with teeth or nearly entire; flower ting often covered with arachnoid hairs, involucre small, long 8–12 mm, outer layers involucral bracts apex abaxial side without small angles, or sometimes slightly enlarged thick; achene upper part with spiny-shaped projections, pappus white. Flowering and fruiting period June–August.",Euhalophyte,Hygrophytic,"Unknown, 300 mM (estimated value)",0,C3,"Medicinal, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1429,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum dissectum,,Taraxacum dissectum,(Ledeb.) Ledeb.,Distributed in Xinjiang; Mongolia and Russia also found.,Occurs in alpine areas wet meadow.,"Perennial herb, hemicryptophyte",Plant height 4–7 cm,"Leaves linear, pinnatisect, lateral lobes linear, entire, both surfaces covered with spider-like filiform short hairs; involucre small, bell-shaped, involucral bracts green, without angles, outer layers appressed appressed, apex flat tan, with wide membranous margin; achene middle part above with large liang small spiny, below with small tuberculate projections. Flowering and fruiting period June–September.",Euhalophyte,Hygrophytic,"Unknown, 300 mM (estimated value)",0,C3,"Medicinal, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1430,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum bessarabicum,,Taraxacum bessarabicum,(Hornem.) Hand.-Mazz.,"Distributed in Ningxia and Xinjiang; Mongolia, Russia and Central Asia also found.","Occurs in floodplains meadow, saline-alkaline land or fields wasteland.","Perennial herb, hemicryptophyte",Plant height 6–20 cm,"Leaves linear to narrow oblanceolate, not lobed to pinnate-shaped shallowly lobed; involucre small, bell-shaped, involucral bracts apex without angles, outer layers wide only 1–1.5 mm, conspicuous narrow on inner layers involucral bracts, often entire xian pale purplish red; pappus dark-stained white. Flowering and fruiting period July–October.",Neo-halophyte,Hygrophytic or mesophytic,98 mM (6300 mg/L),0,C3,"Medicinal, ecological use","Handbook of Halophytes 17, 532; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1431,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum mongolicum,,Taraxacum mongolicum,Hand.-Mazz.,"Distributed in from Northeast to Southwest China each ground; Mongolia, Korea and Russia also found.","Occurs in slopes grassland, fields wasteland or river floodplains wetland.","Perennial herb, hemicryptophyte",Plant height 10–25 cm,"Leaves lanceolate, margin sometimes with undulate teeth or deeply pinnatifid, lobes among often jia borne small teeth; involucre bell-shaped, outer layers involucral bracts apex with conspicuous small angles; achene upper part with small spiny, lower part with forming rows arranged small tubercles. Flowering period April–September, fruiting period May–October.",Neo-halophyte,Mesophytic,895 dS/m; 1.25 dS/m,Salinity tolerance value from database,C3,"Medicinal, wild vegetable, ecological use",eHALOPH
1432,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum kok-saghyz,,Taraxacum kok-saghyz,Rodin,Distributed in Xinjiang; Kazakhstan also found.,"Occurs in floodplains meadow, salinized and alkalized meadow or fields wetland.","Perennial herb, hemicryptophyte",Plant height 7–24 cm,"Leaves not divided, entire or with undulate teeth; involucre bell-shaped, involucral bracts apex often band purplish red, with longer and pointed angles, outer layers pale green, appressed appressed, inner layers with projections angles 1, corolla throat and tongue segments lower part abaxial surface with short-pubescent; achene fusiform. Flowering and fruiting period May–July.",Euhalophyte,Hygrophytic or mesophytic,"Unknown, 200 mM (estimated value)",0,C3,"Rubber, medicinal","Chinese Halophytes, 2nd edition"
1433,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum bicorne,,Taraxacum bicorne,Dahlst.,"Distributed in Gansu, Qinghai and Xinjiang; Central Asia also found.","Occurs in floodplains meadow, saline-alkaline land or fields wetland.","Perennial herb, hemicryptophyte",Plant height 10–25 cm,"Leaves pinnately divided, sometimes xian gray blue green; involucre bell-shaped, outer layers involucral bracts gray-green white green, appressed appressed, apex often xian purplish red, with long angles, inner layers with projections angles 1–2, corolla throat and tongue segments lower part abaxial surface with short-pubescent; achene cylindrical. Flowering and fruiting period April–July.",Euhalophyte,Hygrophytic or mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Medicinal, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1434,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum monochlamydeum,,Taraxacum monochlamydeum,Hand.-Mazz.,"Distributed in Gansu and Xinjiang; Central Asia, West Asia and South Asia also found.","Occurs in desert water wetland, salinized meadow or fields wasteland.","Perennial herb, hemicryptophyte",Plant height 8–15 cm,"Leaves gray-green, pinnate-shaped shallowly lobed or deeply lobed; involucre bell-shaped, outer layers involucral bracts pale green, spreading to revolute, often with relatively coarse large angles, inner layers green, with angles; achene gray brown. Flowering and fruiting period April–July.",Euhalophyte,Hygrophytic or mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Medicinal, ecological use","Chinese Halophytes, 2nd edition"
1435,III. Angiosperms,Asteraceae,Asteraceae,Taraxacum,Taraxacum,Taraxacum officinale,,Taraxacum officinale,F.H.Wigg.,"Native to northern Asia, western part and Europe, eastern China and southern part widely naturalized.","Occurs in wasteland, watersides sandy soil or fields.","Perennial herb, hemicryptophyte",Plant height 5–40 cm,"Leaves coarse large, large head pinnately divided; capitulum large, involucre wide bell-shaped, outer layers involucral bracts revolute or spreading, apex flat tan; achene shallow yellow-brown, middle part above with large liang small pointed spiny, its remaining parts with small tuberculate projections. Flowering and fruiting period June–August.",Neo-halophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Medicinal; naturalized invasive,Handbook of Halophytes 20
1436,III. Angiosperms,Asteraceae,Asteraceae,Ixeris,Ixeris,Ixeris repens,,Ixeris repens,A.Gray,"Distributed in North China, East China and South China; Japan, Korea, Vietnam and Russia also found.",Occurs in seashore sandy land.,"Perennial herb, hemicryptophyte",Plant height 4–12 cm,"Plant creeping, horizontally creeping; leaves long-petiolate, leaf blade 1–2 times palmate-shaped 3–5 divided, both surfaces glabrous; capitulum solitary leaf axils, involucre round column-shaped, outer surface glabrous, ligulate florets 12–60, yellow; achene round column-shaped, pappus white. Flowering and fruiting period May–October.",Salt-excluding halophyte,Mesophytic; psammophytic,320 mM,Salinity tolerance value from database,C3,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1437,III. Angiosperms,Asteraceae,Asteraceae,Askellia,Askellia,Askellia flexuosa,,Askellia flexuosa,(Ledeb.) W.A.Weber,"Distributed in North China and Northwest China; North Asia, Central Asia, West Asia and South Asia also found.","Occurs in desert sandy land, river floodplains ground or marshland margins.","Perennial herb, hemicryptophyte",Plant height 3–30 cm,"Plant round spherical-shaped, stem dense, much-branched; leaves pinnately divided, green green, both surfaces glabrous; capitulum numerous rows forming corymb, involucre narrow round column-shaped, involucral bracts 4 layers, outer surface glabrous, ligulate florets yellow; achene fusiform-shaped, pappus white. Flowering and fruiting period June–October.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,"Ornamental, ecological use",Supplemented based on field surveys
